Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissement;Nom de la commune;Code INSEE de la commune;Secteur;Effectifs;IPS;Ecart-type de l'IPS
2023-2024;LYON;001;AIN;0010002X;COLLEGE SAINT EXUPERY;AMBERIEU EN BUGEY;01004;public;630;96.6;35.5
2023-2024;LYON;001;AIN;0010040N;COLLEGE LOUIS VUITTON;SAINT TRIVIER DE COURTES;01388;public;258;94.6;24.1
2023-2024;LYON;001;AIN;0010088R;COLLEGE PRIVE JEANNE D ARC;GEX;01173;privé sous contrat;909;144.0;28.3
2023-2024;LYON;001;AIN;0010092V;COLLEGE PRIVE SAINT JOSEPH;OYONNAX;01283;privé sous contrat;490;110.0;33.6
2023-2024;LYON;001;AIN;0010895T;COLLEGE;MONTREVEL EN BRESSE;01266;public;738;106.7;31.6
2023-2024;LYON;001;AIN;0010896U;COLLEGE INTERNATIONAL;FERNEY VOLTAIRE;01160;public;921;128.0;38.2
2023-2024;LYON;001;AIN;0010938P;COLLEGE LES COTES;PERONNAS;01289;public;594;99.1;32.6
2023-2024;LYON;001;AIN;0011067E;COLLEGE SABINE ZLATIN;BELLEY;01034;public;824;98.7;33.0
2023-2024;LYON;001;AIN;0011068F;COLLEGE XAVIER BICHAT;NANTUA;01269;public;362;90.4;33.2
2023-2024;LYON;001;AIN;0011142L;COLLEGE MARCEL AYME;DAGNEUX;01142;public;536;108.2;33.1
2023-2024;LYON;001;AIN;0011151W;COLLEGE PRIVE SAINT JOSEPH;MIRIBEL;01249;privé sous contrat;333;137.4;30.2
2023-2024;LYON;001;AIN;0011193S;COLLEGE LEON MARIE FOURNET;JASSANS RIOTTIER;01194;public;549;106.3;34.5
2023-2024;LYON;001;AIN;0011301J;COLLEGE LE JORAN;PREVESSIN MOENS;01313;public;753;120.2;33.4
2023-2024;LYON;001;AIN;0011333U;COLLEGE YVON MORANDAT;SAINT DENIS LES BOURG;01344;public;501;102.3;32.5
2023-2024;AMIENS;002;AISNE;0020002S;COLLEGE LOUIS SANDRAS;ANIZY LE GRAND;02018;public;505;99.7;31.5
2023-2024;AMIENS;002;AISNE;0020017H;COLLEGE LEOPOLD SENGHOR;CORBENY;02215;public;383;94.3;29.4
2023-2024;AMIENS;002;AISNE;0020018J;COLLEGE LEON DROUSSENT;COUCY LE CHATEAU AUFFRIQUE;02217;public;361;88.8;28.9
2023-2024;AMIENS;002;AISNE;0020024R;COLLEGE ANNE DE MONTMORENCY;FERE EN TARDENOIS;02305;public;505;90.6;27.8
2023-2024;AMIENS;002;AISNE;0020029W;COLLEGE ALEXANDRE DUMAS;VILLENEUVE SUR AISNE;02360;public;366;104.8;31.1
2023-2024;AMIENS;002;AISNE;0020067M;COLLEGE CONDORCET;VERVINS;02789;public;411;90.3;29.4
2023-2024;AMIENS;002;AISNE;0020075W;COLLEGE GEORGES COBAST;HIRSON;02381;public;415;81.5;28.7
2023-2024;AMIENS;002;AISNE;0020483P;COLLEGE PRIVE JEANNE D ARC;GUISE;02361;privé sous contrat;131;105.4;27.5
2023-2024;AMIENS;002;AISNE;0021489H;COLLEGE CHARLES DE GAULLE;MONTCORNET;02502;public;180;82.1;25.0
2023-2024;AMIENS;002;AISNE;0021491K;COLLEGE MAURICE WAJSFELNER;CUFFIES;02245;public;410;98.2;32.5
2023-2024;AMIENS;002;AISNE;0021492L;COLLEGE GERARD PHILIPE;SOISSONS;02722;public;484;65.6;17.1
2023-2024;AMIENS;002;AISNE;0021518P;COLLEGE MARIE DE LUXEMBOURG;LA FERE;02304;public;405;86.7;28.1
2023-2024;AMIENS;002;AISNE;0021598B;COLLEGE JEAN MERMOZ;LAON;02408;public;608;94.5;33.0
2023-2024;AMIENS;002;AISNE;0021661V;COLLEGE VILLARD DE HONNECOURT;FRESNOY LE GRAND;02334;public;373;86.0;29.3
2023-2024;AMIENS;002;AISNE;0021663X;COLLEGE CESAR SAVART;SAINT MICHEL;02684;public;206;87.8;27.4
2023-2024;AMIENS;002;AISNE;0021686X;COLLEGE FROEHLICHER;SISSONNE;02720;public;437;86.5;28.2
2023-2024;AMIENS;002;AISNE;0021691C;COLLEGE SAINT JUST;SOISSONS;02722;public;485;91.0;33.5
2023-2024;AMIENS;002;AISNE;0021724N;COLLEGE JEAN RACINE;CHATEAU THIERRY;02168;public;607;103.2;32.6
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030004N;COLLEGE ACHILLE ALLIER;BOURBON L ARCHAMBAULT;03036;public;245;105.7;34.7
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030017C;COLLEGE JOSEPH HENNEQUIN;GANNAT;03118;public;385;102.9;32.2
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030018D;COLLEGE GEORGE SAND;HURIEL;03128;public;254;99.5;28.7
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030022H;COLLEGE DE LA COMBRAILLE;MARCILLAT EN COMBRAILLE;03161;public;102;102.4;32.9
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030042E;COLLEGE FRANCOIS RABELAIS;NERIS LES BAINS;03195;public;240;112.2;32.6
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030047K;COLLEGE ALAIN FOURNIER;VALLON EN SULLY;03297;public;194;91.7;24.6
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030070K;COLLEGE PRIVE SAINT DOMINIQUE;VICHY;03310;privé sous contrat;372;127.5;33.7
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030081X;COLLEGE PRIVE SAINT BENOIT;MOULINS;03190;privé sous contrat;269;107.1;29.1
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030892D;COLLEGE BLAISE DE VIGENERE;SAINT POURCAIN SUR SIOULE;03254;public;441;96.2;30.4
2023-2024;CLERMONT-FERRAND;003;ALLIER;0030956Y;COLLEGE LOUIS ARAGON;DOMERAT;03101;public;358;99.6;30.8
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040002F;COLLEGE DU PAYS DE BANON;BANON;04018;public;156;104.1;26.5
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040013T;COLLEGE LE MONT D OR;MANOSQUE;04112;public;306;86.5;33.1
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040017X;COLLEGE MAXIME JAVELLY;RIEZ;04166;public;285;99.4;30.1
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040022C;COLLEGE GASSENDI;DIGNE LES BAINS;04070;public;595;108.1;32.6
2023-2024;AIX-MARSEILLE;004;ALPES-DE-HAUTE-PROVENCE;0040419J;COLLEGE ANDRE HONNORAT;BARCELONNETTE;04019;public;335;107.0;32.4
2023-2024;NICE;006;ALPES-MARITIMES;0060008B;COLLEGE L EAU VIVE;BREIL SUR ROYA;06023;public;101;95.7;30.4
2023-2024;NICE;006;ALPES-MARITIMES;0060050X;COLLEGE VALERI;NICE;06088;public;763;100.5;32.6
2023-2024;NICE;006;ALPES-MARITIMES;0060066P;COLLEGE SAINT BLAISE;SAINT SAUVEUR SUR TINEE;06129;public;161;102.4;28.9
2023-2024;NICE;006;ALPES-MARITIMES;0060083H;COLLEGE FERSEN;ANTIBES;06004;public;526;108.8;32.3
2023-2024;NICE;006;ALPES-MARITIMES;0060795G;COLLEGE SIDNEY BECHET;ANTIBES;06004;public;407;102.1;30.6
2023-2024;NICE;006;ALPES-MARITIMES;0060799L;COLLEGE LES MURIERS;CANNES;06029;public;775;84.2;27.9
2023-2024;NICE;006;ALPES-MARITIMES;0060823M;COLLEGE PRIVE SAINT PHILIPPE NERI;ANTIBES;06004;privé sous contrat;229;126.6;30.8
2023-2024;NICE;006;ALPES-MARITIMES;0060838D;COLLEGE SIMONE VEIL;NICE;06088;public;489;75.9;22.8
2023-2024;NICE;006;ALPES-MARITIMES;0060841G;COLLEGE JEAN HENRI FABRE;NICE;06088;public;728;88.5;29.2
2023-2024;NICE;006;ALPES-MARITIMES;0060842H;COLLEGE PIERRE BERTONE;ANTIBES;06004;public;742;106.5;32.1
2023-2024;NICE;006;ALPES-MARITIMES;0061002G;COLLEGE ALPHONSE DAUDET;NICE;06088;public;595;92.9;30.7
2023-2024;NICE;006;ALPES-MARITIMES;0061006L;COLLEGE HENRI MATISSE;NICE;06088;public;1052;124.3;34.9
2023-2024;NICE;006;ALPES-MARITIMES;0061130W;COLLEGE PAUL LANGEVIN;CARROS;06033;public;825;96.7;32.4
2023-2024;NICE;006;ALPES-MARITIMES;0061131X;COLLEGE MAURICE JAUBERT;NICE;06088;public;794;67.9;16.4
2023-2024;NICE;006;ALPES-MARITIMES;0061133Z;COLLEGE LA FONTONNE;ANTIBES;06004;public;410;109.1;32.5
2023-2024;NICE;006;ALPES-MARITIMES;0061238N;COLLEGE ANDRE MAUROIS;MENTON;06083;public;668;99.6;27.7
2023-2024;NICE;006;ALPES-MARITIMES;0061342B;COLLEGE CAPRON;CANNES;06029;public;478;97.5;32.1
2023-2024;NICE;006;ALPES-MARITIMES;0061376N;COLLEGE LA COLLE SUR LOUP;LA COLLE SUR LOUP;06044;public;682;127.1;34.9
2023-2024;NICE;006;ALPES-MARITIMES;0061457B;COLLEGE PRIVE STANISLAS;CANNES;06029;privé sous contrat;1018;134.2;31.6
2023-2024;NICE;006;ALPES-MARITIMES;0061666D;COLLEGE DES BAOUS;SAINT JEANNET;06122;public;846;124.9;34.2
2023-2024;NICE;006;ALPES-MARITIMES;0061824A;COLLEGE GUILLAUME VENTO;MENTON;06083;public;756;96.9;30.7
2023-2024;NICE;006;ALPES-MARITIMES;0061853G;COLLEGE LE PRE DES ROURES;LE ROURET;06112;public;698;120.5;35.9
2023-2024;NICE;006;ALPES-MARITIMES;0061924J;COLLEGE LES MIMOSAS;MANDELIEU LA NAPOULE;06079;public;604;111.9;33.9
2023-2024;NICE;006;ALPES-MARITIMES;0061925K;COLLEGE NIKI DE SAINT PHALLE;VALBONNE;06152;public;815;143.2;32.1
2023-2024;GRENOBLE;007;ARDECHE;0070011Z;COLLEGE CHARLES DE GAULLE;GUILHERAND GRANGES;07102;public;635;113.2;33.0
2023-2024;GRENOBLE;007;ARDECHE;0070012A;COLLEGE VALLEE DE LA BEAUME;JOYEUSE;07110;public;281;105.5;28.7
2023-2024;GRENOBLE;007;ARDECHE;0070060C;COLLEGE PRIVE SACRE COEUR;ANNONAY;07010;privé sous contrat;693;115.9;30.4
2023-2024;GRENOBLE;007;ARDECHE;0070872K;COLLEGE DU VIVARAIS;LAMASTRE;07129;public;187;100.9;29.3
2023-2024;GRENOBLE;007;ARDECHE;0071246S;COLLEGE BERNARD DE VENTADOUR;PRIVAS;07186;public;952;104.5;33.1
2023-2024;REIMS;008;ARDENNES;0080016Z;COLLEGE MARIE HELENE CARDOT;DOUZY;08145;public;335;93.5;28.5
2023-2024;REIMS;008;ARDENNES;0080017A;COLLEGE LES AURAINS;FUMAY;08185;public;236;88.5;28.3
2023-2024;REIMS;008;ARDENNES;0080079T;COLLEGE FRED SCAMARONI;CHARLEVILLE MEZIERES;08105;public;272;85.9;30.6
2023-2024;REIMS;008;ARDENNES;0080826E;COLLEGE LE LAC;SEDAN;08409;public;284;70.7;20.7
2023-2024;REIMS;008;ARDENNES;0080897G;COLLEGE ROBERT DE SORBON;RETHEL;08362;public;342;95.1;31.7
2023-2024;REIMS;008;ARDENNES;0080948M;COLLEGE GIVET;GIVET;08190;public;338;92.2;30.9
2023-2024;REIMS;008;ARDENNES;0080949N;COLLEGE GEORGE SAND;REVIN;08363;public;313;86.0;27.5
2023-2024;REIMS;008;ARDENNES;0080994M;COLLEGE PRIVE NOTRE DAME;CHARLEVILLE MEZIERES;08105;privé sous contrat;362;126.9;28.6
2023-2024;REIMS;008;ARDENNES;0080995N;COLLEGE PRIVE MABILLON;SEDAN;08409;privé sous contrat;499;113.7;30.0
2023-2024;REIMS;008;ARDENNES;0081098A;COLLEGE ANDREE VIENOT;ROCROI;08367;public;193;90.6;29.0
2023-2024;TOULOUSE;009;ARIEGE;0090023B;COLLEGE DU GIRBET;SAVERDUN;09282;public;325;103.6;30.3
2023-2024;TOULOUSE;009;ARIEGE;0090055L;COLLEGE PIERRE BAYLE;PAMIERS;09225;public;619;100.3;30.2
2023-2024;TOULOUSE;009;ARIEGE;0090573Z;COLLEGE MIREPOIX;MIREPOIX;09194;public;472;101.2;31.9
2023-2024;TOULOUSE;009;ARIEGE;0090591U;COLLEGE PRIVE NOTRE DAME;PAMIERS;09225;privé sous contrat;327;118.9;29.7
2023-2024;REIMS;010;AUBE;0100008E;COLLEGE AMADIS JAMYN;CHAOURCE;10080;public;169;104.9;28.7
2023-2024;REIMS;010;AUBE;0100011H;COLLEGE JEAN MOULIN;MARIGNY LE CHATEL;10224;public;333;98.7;24.0
2023-2024;REIMS;010;AUBE;0100051B;COLLEGE PRIVE SAINT LOUP;MESNIL SAINT LOUP;10237;privé sous contrat;110;107.8;31.4
2023-2024;REIMS;010;AUBE;0100058J;COLLEGE PRIVE SAINT DOMINIQUE SAVIO;SAINT JULIEN LES VILLAS;10343;privé sous contrat;306;112.8;31.5
2023-2024;REIMS;010;AUBE;0100665U;COLLEGE DE LA VOIE CHATELAINE;ARCIS SUR AUBE;10006;public;554;96.4;28.4
2023-2024;REIMS;010;AUBE;0100745F;COLLEGE PRIVE HENRI BRETON;BAR SUR SEINE;10034;privé sous contrat;164;101.4;22.8
2023-2024;REIMS;010;AUBE;0100806X;COLLEGE D OTHE ET VANNE;AIX VILLEMAUR PALIS;10003;public;393;101.6;31.7
2023-2024;MONTPELLIER;011;AUDE;0110021N;COLLEGE VICTOR HUGO;NARBONNE;11262;public;615;97.0;31.4
2023-2024;MONTPELLIER;011;AUDE;0110067N;COLLEGE LES MAILHEULS;COURSAN;11106;public;668;104.5;31.5
2023-2024;MONTPELLIER;011;AUDE;0110068P;COLLEGE GEORGES BRASSENS;NARBONNE;11262;public;468;87.8;31.1
2023-2024;MONTPELLIER;011;AUDE;0110674Y;COLLEGE GASTON BONHEUR;TREBES;11397;public;364;96.6;31.5
2023-2024;MONTPELLIER;011;AUDE;0110675Z;COLLEGE MICHEL BOUSQUIE;QUILLAN;11304;public;103;102.6;27.8
2023-2024;MONTPELLIER;011;AUDE;0110676A;COLLEGE SAINT EXUPERY;BRAM;11049;public;573;105.5;30.5
2023-2024;MONTPELLIER;011;AUDE;0110896P;COLLEGE PRIVE JEANNE D ARC;CASTELNAUDARY;11076;privé sous contrat;158;122.4;31.8
2023-2024;TOULOUSE;012;AVEYRON;0120020G;COLLEGE LUCIE AUBRAC;RIEUPEYROUX;12198;public;135;99.6;27.1
2023-2024;TOULOUSE;012;AVEYRON;0120032V;COLLEGE ALBERT CAMUS;BARAQUEVILLE;12056;public;458;113.4;28.6
2023-2024;TOULOUSE;012;AVEYRON;0120055V;COLLEGE PRIVE DOMINIQUE SAVIO;RIEUPEYROUX;12198;privé sous contrat;94;103.1;20.0
2023-2024;TOULOUSE;012;AVEYRON;0120078V;COLLEGE PRIVE SACRE COEUR;LAISSAC SEVERAC L EGLISE;12120;privé sous contrat;166;106.6;22.6
2023-2024;TOULOUSE;012;AVEYRON;0120622L;COLLEGE PAUL RAMADIER;DECAZEVILLE;12089;public;445;90.3;28.6
2023-2024;TOULOUSE;012;AVEYRON;0121295T;COLLEGE DE LA VIADENE;SAINT AMANS DES COTS;12209;public;147;103.4;28.3
2023-2024;TOULOUSE;012;AVEYRON;0121524S;COLLEGE DU LARZAC;LA CAVALERIE;12063;public;64;104.5;22.8
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0130093F;COLLEGE FRAISSINET;MARSEILLE 5E ARRONDISSEMENT;13205;public;516;99.1;33.4
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0130158B;COLLEGE RENE SEYSSAUD;SAINT CHAMAS;13092;public;438;113.1;33.5
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0130163G;COLLEGE JOSEPH D ARBAUD;SALON DE PROVENCE;13103;public;619;101.7;30.7
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131265E;COLLEGE JEAN MOULIN;SALON DE PROVENCE;13103;public;467;77.1;26.0
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131336G;COLLEGE PRIVE CHEVREUL CHAMPAVIER;MARSEILLE 5E ARRONDISSEMENT;13205;privé sous contrat;340;128.1;29.9
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131349W;COLLEGE PRIVE LA PRESENTATION;SALON DE PROVENCE;13103;privé sous contrat;576;118.2;27.0
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131364M;COLLEGE PRIVE SAINTE MARIE;AUBAGNE;13005;privé sous contrat;371;136.6;30.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131369T;COLLEGE PRIVE SAINTE ELISABETH;LES PENNES MIRABEAU;13071;privé sous contrat;606;116.0;31.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131375Z;COLLEGE PRIVE SAINT MAURONT;MARSEILLE 3E ARRONDISSEMENT;13203;privé sous contrat;230;75.8;24.3
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131387M;COLLEGE PRIVE ALPILLES DURANCE;ROGNONAS;13083;privé sous contrat;355;124.8;32.1
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131609D;COLLEGE FREDERIC MISTRAL;ARLES;13004;public;457;104.0;31.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131704G;COLLEGE ARTHUR RIMBAUD;MARSEILLE 15E ARRONDISSEMENT;13215;public;395;63.9;17.3
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131705H;COLLEGE FERNAND LEGER;BERRE L ETANG;13014;public;646;91.2;26.8
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131712R;COLLEGE ARC DE MEYRAN;AIX EN PROVENCE;13001;public;700;110.3;35.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0131884C;COLLEGE BELLE DE MAI;MARSEILLE 3E ARRONDISSEMENT;13203;public;464;73.6;20.3
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132204A;COLLEGE PONT DE VIVAUX;MARSEILLE 10E ARRONDISSEMENT;13210;public;513;75.9;24.5
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132310R;COLLEGE GYPTIS;MARSEILLE 9E ARRONDISSEMENT;13209;public;526;108.7;31.8
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132314V;COLLEGE JEAN GIONO;MARSEILLE 13E ARRONDISSEMENT;13213;public;734;85.3;29.4
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132315W;COLLEGE LES CHARTREUX;MARSEILLE 4E ARRONDISSEMENT;13204;public;512;88.1;33.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132322D;COLLEGE PAUL ELUARD;PORT DE BOUC;13077;public;492;89.5;28.9
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132323E;COLLEGE MAXIMILIEN ROBESPIERRE;PORT SAINT LOUIS DU RHONE;13078;public;513;85.3;23.5
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132325G;COLLEGE CAMPRA;AIX EN PROVENCE;13001;public;407;120.3;37.8
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132401P;COLLEGE CHATEAU FORBIN;MARSEILLE 11E ARRONDISSEMENT;13211;public;438;97.8;29.7
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132402R;COLLEGE LE RUISSATEL;MARSEILLE 11E ARRONDISSEMENT;13211;public;621;120.3;30.0
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132404T;COLLEGE CLAIR SOLEIL;MARSEILLE 14E ARRONDISSEMENT;13214;public;465;65.9;21.2
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132412B;COLLEGE LOU GARLABAN;AUBAGNE;13005;public;754;92.8;30.9
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132730X;COLLEGE PYTHEAS;MARSEILLE 14E ARRONDISSEMENT;13214;public;430;68.0;21.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132833J;COLLEGE GEORGES BRASSENS;BOUC BEL AIR;13015;public;597;132.4;35.1
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132958V;COLLEGE PRIVE SAINT JOSEPH LES MARISTES;MARSEILLE 6E ARRONDISSEMENT;13206;privé sous contrat;509;126.0;31.5
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133203L;COLLEGE LOUIS PASTEUR;ISTRES;13047;public;624;101.1;30.3
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133243E;COLLEGE FONT D AURUMY;FUVEAU;13040;public;886;119.3;32.9
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133335E;COLLEGE PRIVE SAINT AUGUSTIN;CARNOUX EN PROVENCE;13119;privé sous contrat;427;129.9;27.9
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133352Y;COLLEGE CAMILLE CLAUDEL;VITROLLES;13117;public;393;92.3;32.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133449D;COLLEGE PIERRE MATRAJA;SAUSSET LES PINS;13104;public;787;124.7;33.6
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133790Z;COLLEGE LUCIE AUBRAC;EYGUIERES;13035;public;559;117.6;32.7
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0133986M;COLLEGE IBN KHALDOUN;MARSEILLE 15E ARRONDISSEMENT;13215;privé sous contrat;138;106.4;26.5
2023-2024;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0134094E;COLLEGE SOPHIE GERMAIN;AIX EN PROVENCE;13001;public;597;121.1;35.8
2023-2024;NORMANDIE;014;CALVADOS;0140041U;COLLEGE QUINTEFEUILLE;COURSEULLES SUR MER;14191;public;427;110.5;30.9
2023-2024;NORMANDIE;014;CALVADOS;0140067X;COLLEGE FERNAND LEGER;LIVAROT PAYS D AUGE;14371;public;236;93.4;29.5
2023-2024;NORMANDIE;014;CALVADOS;0140068Y;COLLEGE GUY DE MAUPASSANT;SAINT MARTIN DE FONTENAY;14623;public;611;107.4;30.0
2023-2024;NORMANDIE;014;CALVADOS;0140081M;COLLEGE DU BOIS D ORCEAU;TILLY SUR SEULLES;14692;public;392;111.7;30.6
2023-2024;NORMANDIE;014;CALVADOS;0141135H;COLLEGE JULES MICHELET;LISIEUX;14366;public;544;93.7;26.1
2023-2024;NORMANDIE;014;CALVADOS;0141166S;COLLEGE PRIVE SAINT MICHEL;HEROUVILLE SAINT CLAIR;14327;privé sous contrat;167;92.1;21.6
2023-2024;NORMANDIE;014;CALVADOS;0141167T;COLLEGE PRIVE SAINTE TRINITE;FALAISE;14258;privé sous contrat;220;108.9;27.9
2023-2024;NORMANDIE;014;CALVADOS;0141214U;COLLEGE PRIVE SACRE COEUR;CONDE EN NORMANDIE;14174;privé sous contrat;85;99.7;29.2
2023-2024;NORMANDIE;014;CALVADOS;0141256P;COLLEGE GISELE GUILLEMOT;MONDEVILLE;14437;public;538;96.2;34.1
2023-2024;NORMANDIE;014;CALVADOS;0141315D;COLLEGE PIERRE SIMON DE LAPLACE;LISIEUX;14366;public;267;81.7;23.7
2023-2024;NORMANDIE;014;CALVADOS;0141763R;COLLEGE ANDRE MAUROIS;DEAUVILLE;14220;public;242;111.1;30.6
2023-2024;NORMANDIE;014;CALVADOS;0141816Y;COLLEGE JACQUES MONOD;CAEN;14118;public;516;109.5;37.6
2023-2024;NORMANDIE;014;CALVADOS;0141862Y;COLLEGE PRIVE NOTRE DAME;LISIEUX;14366;privé sous contrat;544;116.7;29.8
2023-2024;NORMANDIE;014;CALVADOS;0141864A;COLLEGE PRIVE SAINT JEAN EUDES;VIRE NORMANDIE;14762;privé sous contrat;174;106.2;25.2
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150014J;COLLEGE PIERRE GALERY;MASSIAC;15119;public;121;100.8;25.2
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150018N;COLLEGE DES PORTES DU MIDI;MAURS;15122;public;174;97.4;27.0
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150020R;COLLEGE MARCELLIN BOULE;MONTSALVY;15134;public;136;100.0;24.8
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150025W;COLLEGE RAYMOND CORTAT;PLEAUX;15153;public;70;97.6;23.3
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150053B;COLLEGE PRIVE SAINT JOSEPH LA PRESENTATION;SAINT FLOUR;15187;privé sous contrat;193;105.4;26.5
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150061K;COLLEGE PRIVE NOTRE DAME DES MIRACLES;MAURIAC;15120;privé sous contrat;59;104.1;29.3
2023-2024;CLERMONT-FERRAND;015;CANTAL;0150708N;COLLEGE PRIVE GERBERT;AURILLAC;15014;privé sous contrat;356;114.0;30.2
2023-2024;POITIERS;016;CHARENTE;0160001P;COLLEGE;AIGRE;16005;public;155;90.3;23.6
2023-2024;POITIERS;016;CHARENTE;0160024P;COLLEGE ELISABETH ET ROBERT BADINTER;LA COURONNE;16113;public;528;100.3;29.3
2023-2024;POITIERS;016;CHARENTE;0160030W;COLLEGE;MONTBRON;16223;public;195;104.2;30.1
2023-2024;POITIERS;016;CHARENTE;0160050T;COLLEGE JULES VERNE;ANGOULEME;16015;public;439;114.9;39.0
2023-2024;POITIERS;016;CHARENTE;0160094R;COLLEGE NORBERT CASTERET;RUELLE SUR TOUVRE;16291;public;566;111.8;30.3
2023-2024;POITIERS;016;CHARENTE;0160115N;COLLEGE ALBERT MICHENEAU;VILLEFAGNAN;16409;public;125;94.5;29.3
2023-2024;POITIERS;016;CHARENTE;0160116P;COLLEGE ELISEE MOUSNIER;COGNAC;16102;public;416;110.5;33.6
2023-2024;POITIERS;016;CHARENTE;0160120U;COLLEGE JEAN DE LA QUINTINIE;CHABANAIS;16070;public;254;88.9;26.6
2023-2024;POITIERS;016;CHARENTE;0160864C;COLLEGE CLAUDE BOUCHER;COGNAC;16102;public;411;85.5;28.7
2023-2024;POITIERS;016;CHARENTE;0160969S;COLLEGE PUYGRELIER;SAINT MICHEL;16341;public;460;103.7;31.4
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170004M;COLLEGE BEAUREGARD;BURIE;17072;public;285;98.6;29.2
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170007R;COLLEGE JEAN MONNET;COURCON;17127;public;746;105.9;28.7
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170009T;COLLEGE JULES FERRY;GEMOZAC;17172;public;427;98.9;26.3
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170012W;COLLEGE DE LA TREZENCE;LOULAY;17211;public;181;92.4;27.6
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170056U;COLLEGE ROBERT CELLERIER;SAINT SAVINIEN;17397;public;366;103.3;30.3
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170059X;COLLEGE AGRIPPA D AUBIGNE;SAINTES;17415;public;670;108.3;31.2
2023-2024;POITIERS;017;CHARENTE-MARITIME;0170063B;COLLEGE EDGAR QUINET;SAINTES;17415;public;788;99.0;31.2
