,index,annee,code_etablissement,etablissement,ville,commune,academie,departement,secteur_public_1_prive_2,taux_brut_de_reussite_total_secteurs,UniqueIndex
0,0,2021,0010032E,LYCEE XAVIER BICHAT (GENERAL ET TECHNO.),NANTUA,01269,LYON,AIN,public,98.0,0010032E2021
1,1,2021,0010075B,LYCEE SAINT JOSEPH,MIRIBEL,01249,LYON,AIN,privé sous contrat,100.0,0010075B2021
2,2,2021,0011119L,LYCEE ARBEZ CARME (GENERAL ET TECHNO.),BELLIGNAT,01031,LYON,AIN,public,97.0,0011119L2021
3,3,2021,0011276G,LYCEE DU VAL DE SAONE,TREVOUX,01427,LYON,AIN,public,97.0,0011276G2021
4,4,2021,0020032Z,LYCEE PAUL CLAUDEL,LAON,02408,AMIENS,AISNE,public,96.0,0020032Z2021
5,5,2021,0020034B,LYCEE PIERRE MECHAIN (GENERAL ET TECHNO.),LAON,02408,AMIENS,AISNE,public,97.0,0020034B2021
6,6,2021,0020059D,LYCEE GERARD DE NERVAL,SOISSONS,02722,AMIENS,AISNE,public,99.0,0020059D2021
7,7,2021,0021870X,LYCEE SAINT CHARLES,CHAUNY,02173,AMIENS,AISNE,privé sous contrat,100.0,0021870X2021
8,8,2021,0021873A,LYCEE ST JEAN LA CROIX,ST QUENTIN,02691,AMIENS,AISNE,privé sous contrat,99.0,0021873A2021
9,9,2021,0021874B,LYCEE SAINT REMY,SOISSONS,02722,AMIENS,AISNE,privé sous contrat,99.0,0021874B2021
10,10,2021,0021939X,LYCEE JULES VERNE (GENERAL ET TECHNO.),CHATEAU THIERRY,02168,AMIENS,AISNE,public,98.0,0021939X2021
11,11,2021,0030026M,LYCEE PAUL CONSTANS (GENERAL ET TECHNO.),MONTLUCON,03185,CLERMONT-FERRAND,ALLIER,public,97.0,0030026M2021
12,12,2021,0031082K,LYCEE VALERY LARBAUD (GENERAL ET TECHNO.),CUSSET,03095,CLERMONT-FERRAND,ALLIER,public,95.0,0031082K2021
13,13,2021,0040010P,LYCEE FELIX ESCLANGON,MANOSQUE,04112,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,public,96.0,0040010P2021
14,14,2021,0040023D,LYCEE PAUL ARENE (GENERAL ET TECHNO.),SISTERON,04209,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,public,98.0,0040023D2021
15,15,2021,0040490L,LYCEE PIERRE-GILLES DE GENNES,DIGNE LES BAINS,04070,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,public,99.0,0040490L2021
16,16,2021,0040533H,LYCEE LES ISCLES (GENERAL ET TECHNO.),MANOSQUE,04112,AIX-MARSEILLE,ALPES-DE-HTE-PROVENCE,public,99.0,0040533H2021
17,17,2021,0050004C,LYCEE HONORE ROMANE,EMBRUN,05046,AIX-MARSEILLE,HAUTES-ALPES,public,98.0,0050004C2021
18,18,2021,0060033D,LYCEE HONORE D'ESTIENNE D'ORVES (GENERAL ET TECHNO.),NICE,06088,NICE,ALPES-MARITIMES,public,95.0,0060033D2021
19,19,2021,0060773H,LYCEE DON BOSCO,NICE,06088,NICE,ALPES-MARITIMES,privé sous contrat,100.0,0060773H2021
20,20,2021,0061642C,LYCEE INTERNATIONAL,VALBONNE,06152,NICE,ALPES-MARITIMES,public,100.0,0061642C2021
21,21,2021,0062015H,LYCEE SIMONE VEIL,VALBONNE,06152,NICE,ALPES-MARITIMES,public,99.0,0062015H2021
22,22,2021,0080007P,LYCEE SEVIGNE,CHARLEVILLE MEZIERES,08105,REIMS,ARDENNES,public,95.0,0080007P2021
23,23,2021,0080039Z,LYCEE PAUL VERLAINE (GENERAL ET TECHNO.),RETHEL,08362,REIMS,ARDENNES,public,98.0,0080039Z2021
24,24,2021,0080045F,LYCEE PIERRE BAYLE,SEDAN,08409,REIMS,ARDENNES,public,92.0,0080045F2021
25,25,2021,0080082W,LYCEE SAINT PAUL (GENERAL ET TECHNO.),CHARLEVILLE MEZIERES,08105,REIMS,ARDENNES,privé sous contrat,100.0,0080082W2021
26,26,2021,0090018W,LYCEE DU COUSERANS,ST GIRONS,09261,TOULOUSE,ARIEGE,public,98.0,0090018W2021
27,27,2021,0090036R,LYCEE NOTRE-DAME,PAMIERS,09225,TOULOUSE,ARIEGE,privé sous contrat,100.0,0090036R2021
28,28,2021,0110007Y,LYCEE JULES FIL (GENERAL ET TECHNO.),CARCASSONNE,11069,MONTPELLIER,AUDE,public,90.0,0110007Y2021
29,29,2021,0110045P,LYCEE SAINT LOUIS (GENERAL ET TECHNO.),CARCASSONNE,11069,MONTPELLIER,AUDE,privé sous contrat,99.0,0110045P2021
30,30,2021,0110670U,LYCEE BEAUSEJOUR,NARBONNE,11262,MONTPELLIER,AUDE,privé sous contrat,100.0,0110670U2021
31,31,2021,0120024L,LYCEE ALEXIS MONTEIL,RODEZ,12202,TOULOUSE,AVEYRON,public,97.0,0120024L2021
32,32,2021,0120051R,LYCEE JEANNE D'ARC,MILLAU,12145,TOULOUSE,AVEYRON,privé sous contrat,99.0,0120051R2021
33,33,2021,0120052S,LYCEE IMMACULEE CONCEPTION,ESPALION,12096,TOULOUSE,AVEYRON,privé sous contrat,98.0,0120052S2021
34,34,2021,0130010R,LYCEE MONTMAJOUR (GENERAL ET TECHNO.),ARLES,13004,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,95.0,0130010R2021
35,35,2021,0130048G,LYCEE SAINT EXUPERY,MARSEILLE 15,13215,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,92.0,0130048G2021
36,36,2021,0130143K,LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.),MARTIGUES,13056,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,94.0,0130143K2021
37,37,2021,0131327X,LYCEE TOUR SAINTE (DE),MARSEILLE 14,13214,AIX-MARSEILLE,BOUCHES-DU-RHONE,privé sous contrat,98.0,0131327X2021
38,38,2021,0131328Y,LYCEE MELIZAN,MARSEILLE 11,13211,AIX-MARSEILLE,BOUCHES-DU-RHONE,privé sous contrat,100.0,0131328Y2021
39,39,2021,0131335F,LYCEE CHEVREUL BLANCARDE,MARSEILLE 04,13204,AIX-MARSEILLE,BOUCHES-DU-RHONE,privé sous contrat,100.0,0131335F2021
40,40,2021,0131596P,LYCEE POILUS (BD DES),AIX EN PROVENCE,13001,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,100.0,0131596P2021
41,41,2021,0132495S,LYCEE ARTHUR RIMBAUD,ISTRES,13047,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,99.0,0132495S2021
42,42,2021,0132974M,LYCEE HOTELIER REGIONAL (GENERAL ET TECHNO.),MARSEILLE 08,13208,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,100.0,0132974M2021
43,43,2021,0133288D,LYCEE JEAN MONNET (GENERAL ET TECHNO.),VITROLLES,13117,AIX-MARSEILLE,BOUCHES-DU-RHONE,public,99.0,0133288D2021
44,44,2021,0133314G,LYCEE ST LOUIS - STE MARIE,GIGNAC LA NERTHE,13043,AIX-MARSEILLE,BOUCHES-DU-RHONE,privé sous contrat,100.0,0133314G2021
45,45,2021,0140056K,LYCEE ALBERT SOREL (GENERAL ET TECHNO.),HONFLEUR,14333,NORMANDIE,CALVADOS,public,98.0,0140056K2021
46,46,2021,0141161L,LYCEE JEANNE D'ARC,CAEN,14118,NORMANDIE,CALVADOS,privé sous contrat,100.0,0141161L2021
47,47,2021,0142120D,LYCEE CHARLES TELLIER (GENERAL ET TECHNO.),CONDE EN NORMANDIE,14174,NORMANDIE,CALVADOS,public,95.0,0142120D2021
48,48,2021,0142133T,LYCEE P. S. DE LAPLACE (GENERAL ET TECHNO.),CAEN,14118,NORMANDIE,CALVADOS,public,100.0,0142133T2021
49,49,2021,0150006A,LYCEE MONNET-MERMOZ (GENERAL ET TECHNO.),AURILLAC,15014,CLERMONT-FERRAND,CANTAL,public,97.0,0150006A2021
50,50,2021,0150047V,LYCEE DE LA COMMUNICATION ST GERAUD (GENERAL ET TECHNO.),AURILLAC,15014,CLERMONT-FERRAND,CANTAL,privé sous contrat,100.0,0150047V2021
51,51,2021,0150051Z,LYCEE LA PRESENTATION,ST FLOUR,15187,CLERMONT-FERRAND,CANTAL,privé sous contrat,91.0,0150051Z2021
52,52,2021,0160022M,LYCEE EMILE ROUX (GENERAL ET TECHNO.),CONFOLENS,16106,POITIERS,CHARENTE,public,97.0,0160022M2021
53,53,2021,0170060Y,LYCEE BERNARD PALISSY,SAINTES,17415,POITIERS,CHARENTE-MARITIME,public,98.0,0170060Y2021
54,54,2021,0171455P,LYCEE MARCEL DASSAULT (GENERAL ET TECHNO.),ROCHEFORT,17299,POITIERS,CHARENTE-MARITIME,public,98.0,0171455P2021
55,55,2021,0180006J,LYCEE MARGUERITE DE NAVARRE,BOURGES,18033,ORLEANS-TOURS,CHER,public,98.0,0180006J2021
56,56,2021,0180035R,LYCEE EDOUARD VAILLANT (GENERAL ET TECHNO.),VIERZON,18279,ORLEANS-TOURS,CHER,public,94.0,0180035R2021
57,57,2021,0190011J,LYCEE D ARSONVAL,BRIVE LA GAILLARDE,19031,LIMOGES,CORREZE,public,98.0,0190011J2021
58,58,2021,0190038N,LYCEE BERNART DE VENTADOUR,USSEL,19275,LIMOGES,CORREZE,public,98.0,0190038N2021
59,59,2021,0190058K,LYCEE BOSSUET,BRIVE LA GAILLARDE,19031,LIMOGES,CORREZE,privé sous contrat,99.0,0190058K2021
60,60,2021,0210006T,CLOS MAIRE (GENERAL ET TECHNO.),BEAUNE,21054,DIJON,COTE D'OR,public,99.0,0210006T2021
61,61,2021,0210012Z,LYCEE STEPHEN LIEGEARD,BROCHON,21110,DIJON,COTE D'OR,public,99.0,0210012Z2021
62,62,2021,0211033J,LYCEE GUSTAVE EIFFEL,DIJON,21231,DIJON,COTE D'OR,public,99.0,0211033J2021
63,63,2021,0211074D,LYCEE NOTRE DAME,DIJON,21231,DIJON,COTE D'OR,privé sous contrat,100.0,0211074D2021
64,64,2021,0211091X,LYCEE LES ARCADES (GENERAL ET TECHNO.),DIJON,21231,DIJON,COTE D'OR,privé sous contrat,99.0,0211091X2021
65,65,2021,0212045J,LYCEE E.J. MAREY (GENERAL ET TECHNO.),BEAUNE,21054,DIJON,COTE D'OR,public,95.0,0212045J2021
66,66,2021,0220018A,LYCEE AUGUSTE PAVIE,GUINGAMP,22070,RENNES,COTES D'ARMOR,public,99.0,0220018A2021
67,67,2021,0220056S,LYCEE FRANCOIS RABELAIS,ST BRIEUC,22278,RENNES,COTES D'ARMOR,public,99.0,0220056S2021
68,68,2021,0220110A,LYCEE ST CHARLES,ST BRIEUC,22278,RENNES,COTES D'ARMOR,privé sous contrat,100.0,0220110A2021
69,69,2021,0220111B,LYCEE ST PIERRE,ST BRIEUC,22278,RENNES,COTES D'ARMOR,privé sous contrat,100.0,0220111B2021
70,70,2021,0221571N,LYCEE KERRAOUL (GENERAL ET TECHNO.),PAIMPOL,22162,RENNES,COTES D'ARMOR,public,100.0,0221571N2021
71,71,2021,0230020X,LYCEE PIERRE BOURDAN,GUERET,23096,LIMOGES,CREUSE,public,97.0,0230020X2021
72,72,2021,0230025C,LYCEE RAYMOND LOEWY,LA SOUTERRAINE,23176,LIMOGES,CREUSE,public,97.0,0230025C2021
73,73,2021,0230051F,LYCEE JEAN FAVARD (GENERAL ET TECHNO.),GUERET,23096,LIMOGES,CREUSE,public,93.0,0230051F2021
74,74,2021,0240035H,LYCEE PRE DE CORDY,SARLAT LA CANEDA,24520,BORDEAUX,DORDOGNE,public,98.0,0240035H2021
75,75,2021,0241137F,LYCEE JAY DE BEAUFORT,PERIGUEUX,24322,BORDEAUX,DORDOGNE,public,98.0,0241137F2021
76,76,2021,0250058C,LYCEE ARMAND PEUGEOT,VALENTIGNEY,25580,BESANCON,DOUBS,public,98.0,0250058C2021
77,77,2021,0260008T,LYCEE DU DIOIS,DIE,26113,GRENOBLE,DROME,public,96.0,0260008T2021
78,78,2021,0260066F,LYCEE SAINT MAURICE,ROMANS SUR ISERE,26281,GRENOBLE,DROME,privé sous contrat,100.0,0260066F2021
79,79,2021,0260069J,LYCEE NOTRE DAME,VALENCE,26362,GRENOBLE,DROME,privé sous contrat,100.0,0260069J2021
80,80,2021,0261505V,LYCEE ALGOUD - LAFFEMAS (GENERAL ET TECHNO.),VALENCE,26362,GRENOBLE,DROME,public,93.0,0261505V2021
81,81,2021,0270016W,LYCEE ARISTIDE BRIAND,EVREUX,27229,NORMANDIE,EURE,public,95.0,0270016W2021
82,82,2021,0270017X,LYCEE MODESTE LEROY,EVREUX,27229,NORMANDIE,EURE,public,96.0,0270017X2021
83,83,2021,0271282X,LYCEE JEANNE D'ARC - SAINT ANSELME,BERNAY,27056,NORMANDIE,EURE,privé sous contrat,99.0,0271282X2021
84,84,2021,0271585B,LYCEE JEAN MOULIN (GENERAL ET TECHNO.),LES ANDELYS,27016,NORMANDIE,EURE,public,99.0,0271585B2021
85,85,2021,0290010D,LYCEE DE L'HARTELOIRE,BREST,29019,RENNES,FINISTERE,public,97.0,0290010D2021
86,86,2021,0290023T,LYCEE JEAN MOULIN,CHATEAULIN,29026,RENNES,FINISTERE,public,99.0,0290023T2021
87,87,2021,0290159R,LYCEE ST SEBASTIEN,LANDERNEAU,29103,RENNES,FINISTERE,privé sous contrat,99.0,0290159R2021
88,88,2021,0290198H,LYCEE ST ESPRIT,LANDIVISIAU,29105,RENNES,FINISTERE,privé sous contrat,98.0,0290198H2021
89,89,2021,0290336H,LYCEE ESTRAN CHARLES DE FOUCAULD,BREST,29019,RENNES,FINISTERE,privé sous contrat,100.0,0290336H2021
90,90,2021,0300077W,LYCEE BELLEVUE,ALES,30007,MONTPELLIER,GARD,privé sous contrat,99.0,0300077W2021
91,91,2021,0300950V,LYCEE ALBERT EINSTEIN (GENERAL ET TECHNO.),BAGNOLS SUR CEZE,30028,MONTPELLIER,GARD,public,99.0,0300950V2021
92,92,2021,0310017A,LYCEE PAUL MATHOU (GENERAL ET TECHNO.),GOURDAN POLIGNAN,31224,TOULOUSE,HAUTE-GARONNE,public,99.0,0310017A2021
93,93,2021,0310044E,LYCEE DEODAT DE SEVERAC (GENERAL ET TECHNO.),TOULOUSE,31555,TOULOUSE,HAUTE-GARONNE,public,95.0,0310044E2021
94,94,2021,0311126F,LYCEE LE FERRADOU,BLAGNAC,31069,TOULOUSE,HAUTE-GARONNE,privé sous contrat,100.0,0311126F2021
95,95,2021,0311902Z,LYCEE STEPHANE HESSEL,TOULOUSE,31555,TOULOUSE,HAUTE-GARONNE,public,98.0,0311902Z2021
96,96,2021,0312267W,LYCEE DES ARENES,TOULOUSE,31555,TOULOUSE,HAUTE-GARONNE,public,96.0,0312267W2021
97,97,2021,0312355S,LYCEE ORT MAURICE GRYNFOGEL,COLOMIERS,31149,TOULOUSE,HAUTE-GARONNE,privé sous contrat,100.0,0312355S2021
98,98,2021,0312686B,LYCEE SAINT-EXUPERY (GENERAL ET TECHNO.),BLAGNAC,31069,TOULOUSE,HAUTE-GARONNE,public,96.0,0312686B2021
99,99,2021,0312915A,LYCEE LEON BLUM (GENERAL ET TECHNO.),VILLEFRANCHE DE LAURAGAIS,31582,TOULOUSE,HAUTE-GARONNE,public,98.0,0312915A2021
100,100,2021,0320002D,LYCEE PARDAILHAN,AUCH,32013,TOULOUSE,GERS,public,98.0,0320002D2021
101,101,2021,0320009L,LYCEE BOSSUET,CONDOM,32107,TOULOUSE,GERS,public,97.0,0320009L2021
102,102,2021,0320025D,LYCEE D'ARTAGNAN (GENERAL ET TECHNO.),NOGARO,32296,TOULOUSE,GERS,public,99.0,0320025D2021
103,103,2021,0330021U,LYCEE MICHEL MONTAIGNE,BORDEAUX,33063,BORDEAUX,GIRONDE,public,98.0,0330021U2021
104,104,2021,0330026Z,LYCEE FRANCOIS MAGENDIE,BORDEAUX,33063,BORDEAUX,GIRONDE,public,100.0,0330026Z2021
105,105,2021,0330029C,LYCEE NICOLAS BREMONTIER,BORDEAUX,33063,BORDEAUX,GIRONDE,public,92.0,0330029C2021
106,106,2021,0332192D,LYCEE HOTEL.TOURISME GASCOGNE (GENERAL ET TECHNO.),TALENCE,33522,BORDEAUX,GIRONDE,public,98.0,0332192D2021
107,107,2021,0332468D,LYCEE BIOLOGIE ET CHIMIE ST LOUIS,BORDEAUX,33063,BORDEAUX,GIRONDE,public,96.0,0332468D2021
108,108,2021,0332831Y,LYCEE SUD MEDOC LA BOETIE,LE TAILLAN MEDOC,33519,BORDEAUX,GIRONDE,public,99.0,0332831Y2021
109,109,2021,0332870R,LYCEE DE LA MER (GENERAL ET TECHNO.),GUJAN MESTRAS,33199,BORDEAUX,GIRONDE,public,98.0,0332870R2021
110,110,2021,0340023R,LYCEE RENE GOSSE,CLERMONT L HERAULT,34079,MONTPELLIER,HERAULT,public,98.0,0340023R2021
111,111,2021,0340030Y,LYCEE LOUIS FEUILLADE (GENERAL ET TECHNO.),LUNEL,34145,MONTPELLIER,HERAULT,public,97.0,0340030Y2021
112,112,2021,0340039H,LYCEE GEORGES CLEMENCEAU,MONTPELLIER,34172,MONTPELLIER,HERAULT,public,94.0,0340039H2021
113,113,2021,0340059E,LYCEE JEAN MOULIN,PEZENAS,34199,MONTPELLIER,HERAULT,public,95.0,0340059E2021
114,114,2021,0340076Y,LYCEE IRENE ET FREDERIC JOLIOT CURIE,SETE,34301,MONTPELLIER,HERAULT,public,96.0,0340076Y2021
115,115,2021,0340871M,LYCEE LA TRINITE,BEZIERS,34032,MONTPELLIER,HERAULT,privé sous contrat,100.0,0340871M2021
116,116,2021,0340991T,LYCEE NEVERS (GENERAL ET TECHNO.),MONTPELLIER,34172,MONTPELLIER,HERAULT,privé sous contrat,100.0,0340991T2021
117,117,2021,0342091N,LYCEE MARC BLOCH (GENERAL ET TECHNO.),SERIGNAN,34299,MONTPELLIER,HERAULT,public,98.0,0342091N2021
118,118,2021,0342225J,LYCEE GEORGES FRECHE (GENERAL ET TECHNO.),MONTPELLIER,34172,MONTPELLIER,HERAULT,public,98.0,0342225J2021
119,119,2021,0342266D,LYCEE CITÉ SCOLAIRE FRANÇOISE COMBES,MONTPELLIER,34172,MONTPELLIER,HERAULT,public,99.0,0342266D2021
120,120,2021,0350026N,LYCEE JEAN MACE,RENNES,35238,RENNES,ILLE-ET-VILAINE,public,97.0,0350026N2021
121,121,2021,0350769W,LYCEE JEAN-BAPTISTE LE TAILLANDIER,FOUGERES,35115,RENNES,ILLE-ET-VILAINE,privé sous contrat,99.0,0350769W2021
122,122,2021,0352686E,LYCEE ANITA CONTI,BRUZ,35047,RENNES,ILLE-ET-VILAINE,public,99.0,0352686E2021
123,123,2021,0352867B,LYCEE LEGTA T. MONOD LE RHEU,LE RHEU,35240,RENNES,ILLE-ET-VILAINE,public,99.0,0352867B2021
124,124,2021,0360008N,LYCEE JEAN GIRAUDOUX,CHATEAUROUX,36044,ORLEANS-TOURS,INDRE,public,98.0,0360008N2021
125,125,2021,0360024F,LYCEE BALZAC - D'ALEMBERT (GENERAL ET TECHNO.),ISSOUDUN,36088,ORLEANS-TOURS,INDRE,public,98.0,0360024F2021
126,126,2021,0370036N,LYCEE BALZAC,TOURS,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,public,97.0,0370036N2021
127,127,2021,0370037P,LYCEE CHOISEUL,TOURS,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,public,98.0,0370037P2021
128,128,2021,0370039S,LYCEE PAUL-LOUIS COURIER,TOURS,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,public,99.0,0370039S2021
129,129,2021,0370728R,LYCEE NOTRE DAME LA RICHE,TOURS,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,privé sous contrat,98.0,0370728R2021
130,130,2021,0370737A,LYCEE SAINT DENIS,LOCHES,37132,ORLEANS-TOURS,INDRE-ET-LOIRE,privé sous contrat,99.0,0370737A2021
131,131,2021,0370748M,LYCEE SAINT GATIEN,JOUE LES TOURS,37122,ORLEANS-TOURS,INDRE-ET-LOIRE,privé sous contrat,99.0,0370748M2021
132,132,2021,0371417P,LYCEE JEAN MONNET,JOUE LES TOURS,37122,ORLEANS-TOURS,INDRE-ET-LOIRE,public,97.0,0371417P2021
133,133,2021,0371418R,LYCEE JACQUES DE VAUCANSON,TOURS,37261,ORLEANS-TOURS,INDRE-ET-LOIRE,public,98.0,0371418R2021
134,134,2021,0380008C,LYCEE L'OISELET,BOURGOIN JALLIEU,38053,GRENOBLE,ISERE,public,96.0,0380008C2021
135,135,2021,0380018N,LYCEE ISER - BORDIER,GRENOBLE,38185,GRENOBLE,ISERE,privé sous contrat,95.0,0380018N2021
136,136,2021,0380027Y,LYCEE CHAMPOLLION,GRENOBLE,38185,GRENOBLE,ISERE,public,98.0,0380027Y2021
137,137,2021,0380034F,LYCEE LOUISE MICHEL (GENERAL ET TECHNO.),GRENOBLE,38185,GRENOBLE,ISERE,public,89.0,0380034F2021
138,138,2021,0380081G,LYCEE ELLA FITZGERALD (GENERAL ET TECHNO.),ST ROMAIN EN GAL,38544,GRENOBLE,ISERE,public,97.0,0380081G2021
139,139,2021,0380089R,LYCEE PORTES DE L'OISANS (GENERAL ET TECHNO.),VIZILLE,38562,GRENOBLE,ISERE,public,99.0,0380089R2021
140,140,2021,0380091T,LYCEE EDOUARD HERRIOT (GENERAL ET TECHNO.),VOIRON,38563,GRENOBLE,ISERE,public,99.0,0380091T2021
141,141,2021,0381803D,EXTERNAT NOTRE DAME,GRENOBLE,38185,GRENOBLE,ISERE,privé sous contrat,100.0,0381803D2021
142,142,2021,0382270L,LYCEE PIERRE DU TERRAIL,PONTCHARRA,38314,GRENOBLE,ISERE,public,98.0,0382270L2021
143,143,2021,0382863F,LYCEE DU GRESIVAUDAN (GENERAL ET TECHNO.),MEYLAN,38229,GRENOBLE,ISERE,public,98.0,0382863F2021
144,144,2021,0382920T,LYCEE MARIE CURIE,ECHIROLLES,38151,GRENOBLE,ISERE,public,97.0,0382920T2021
145,145,2021,0390027T,LYCEE VICTOR BERARD (GENERAL ET TECHNO.),MOREZ,39368,BESANCON,JURA,public,100.0,0390027T2021
146,146,2021,0390786T,LYCEE PRE SAINT SAUVEUR (GENERAL ET TECHNO.),ST CLAUDE,39478,BESANCON,JURA,public,97.0,0390786T2021
147,147,2021,0391146J,LYCEE PASTEUR MONT ROLAND (GENERAL ET TECHNO.),DOLE,39198,BESANCON,JURA,privé sous contrat,98.0,0391146J2021
148,148,2021,0400018C,LYCEE CHARLES DESPIAU,MONT DE MARSAN,40192,BORDEAUX,LANDES,public,98.0,0400018C2021
149,149,2021,0401002X,LYCEE HAROUN TAZIEFF (GENERAL ET TECHNO.),ST PAUL LES DAX,40279,BORDEAUX,LANDES,public,97.0,0401002X2021
150,150,2021,0401016M,LYCEE ST JACQUES DE COMPOSTELLE,DAX,40088,BORDEAUX,LANDES,privé sous contrat,99.0,0401016M2021
151,151,2021,0410693F,LYCEE LA PROVIDENCE,BLOIS,41018,ORLEANS-TOURS,LOIR-ET-CHER,privé sous contrat,99.0,0410693F2021
152,152,2021,0420013L,LYCEE ALBERT CAMUS,FIRMINY,42095,LYON,LOIRE,public,95.0,0420013L2021
153,153,2021,0420043U,LYCEE JEAN MONNET,ST ETIENNE,42218,LYON,LOIRE,public,97.0,0420043U2021
154,154,2021,0421025L,LYCEE NOTRE DAME,CHARLIEU,42052,LYON,LOIRE,privé sous contrat,98.0,0421025L2021
155,155,2021,0421788R,LYCEE DU FOREZ,FEURS,42094,LYON,LOIRE,public,97.0,0421788R2021
156,156,2021,0430021P,LYCEE SIMONE WEIL,LE PUY EN VELAY,43157,CLERMONT-FERRAND,HAUTE-LOIRE,public,98.0,0430021P2021
157,157,2021,0430053Z,LYCEE SAINT JULIEN (GENERAL ET TECHNO.),BRIOUDE,43040,CLERMONT-FERRAND,HAUTE-LOIRE,privé sous contrat,100.0,0430053Z2021
158,158,2021,0430055B,LYCEE LA CHARTREUSE PARADIS,BRIVES CHARENSAC,43041,CLERMONT-FERRAND,HAUTE-LOIRE,privé sous contrat,100.0,0430055B2021
159,159,2021,0440005S,LYCEE GUY MOQUET - ETIENNE LENOIR (GENERAL ET TECHNO.),CHATEAUBRIANT,44036,NANTES,LOIRE-ATLANTIQUE,public,97.0,0440005S2021
160,160,2021,0440021J,LYCEE CLEMENCEAU,NANTES,44109,NANTES,LOIRE-ATLANTIQUE,public,99.0,0440021J2021
161,161,2021,0440077V,LYCEE JACQUES PREVERT,SAVENAY,44195,NANTES,LOIRE-ATLANTIQUE,public,100.0,0440077V2021
162,162,2021,0440086E,LYCEE LA COLINIERE,NANTES,44109,NANTES,LOIRE-ATLANTIQUE,public,97.0,0440086E2021
163,163,2021,0440161L,LYCEE ST JOSEPH DU LOQUIDY LA SALLE,NANTES,44109,NANTES,LOIRE-ATLANTIQUE,privé sous contrat,100.0,0440161L2021
164,164,2021,0440178E,LYCEE ND D'ESPERANCE,ST NAZAIRE,44184,NANTES,LOIRE-ATLANTIQUE,privé sous contrat,100.0,0440178E2021
165,165,2021,0440201E,LYCEE ST JOSEPH,MACHECOUL ST MEME,44087,NANTES,LOIRE-ATLANTIQUE,privé sous contrat,99.0,0440201E2021
166,166,2021,0441552Y,LYCEE LES BOURDONNIERES (GENERAL ET TECHNO.),NANTES,44109,NANTES,LOIRE-ATLANTIQUE,public,97.0,0441552Y2021
167,167,2021,0441653H,LYCEE ST JOSEPH LA JOLIVERIE,ST SEBASTIEN SUR LOIRE CED,44190,NANTES,LOIRE-ATLANTIQUE,privé sous contrat,100.0,0441653H2021
168,168,2021,0442094M,LYCEE NICOLAS APPERT (GENERAL ET TECHNO.),ORVAULT,44114,NANTES,LOIRE-ATLANTIQUE,public,96.0,0442094M2021
169,169,2021,0442778F,LYCEE SAINT-MARTIN,NORT SUR ERDRE,44110,NANTES,LOIRE-ATLANTIQUE,privé sous contrat,100.0,0442778F2021
170,170,2021,0442834S,LYCEE HONORE D'ESTIENNE D'ORVES,CARQUEFOU,44026,NANTES,LOIRE-ATLANTIQUE,public,98.0,0442834S2021
171,171,2021,0450049J,LYCEE POTHIER,ORLEANS,45234,ORLEANS-TOURS,LOIRET,public,97.0,0450049J2021
172,172,2021,0450051L,LYCEE BENJAMIN FRANKLIN (GENERAL ET TECHNO.),ORLEANS,45234,ORLEANS-TOURS,LOIRET,public,95.0,0450051L2021
173,173,2021,0450757D,LYCEE STE CROIX ST EUVERTE,ORLEANS,45234,ORLEANS-TOURS,LOIRET,privé sous contrat,100.0,0450757D2021
174,174,2021,0451442Y,LYCEE CHATEAU BLANC,CHALETTE SUR LOING,45068,ORLEANS-TOURS,LOIRET,public,94.0,0451442Y2021
175,175,2021,0460010L,LYCEE JEAN-FRANCOIS CHAMPOLLION,FIGEAC,46102,TOULOUSE,LOT,public,97.0,0460010L2021
176,176,2021,0460038S,LYCEE SAINT-ETIENNE,CAHORS,46042,TOULOUSE,LOT,privé sous contrat,100.0,0460038S2021
177,177,2021,0460039T,LYCEE JEANNE D'ARC (GENERAL ET TECHNO.),FIGEAC,46102,TOULOUSE,LOT,privé sous contrat,98.0,0460039T2021
178,178,2021,0470001W,LYCEE BERNARD PALISSY,AGEN,47001,BORDEAUX,LOT-ET-GARONNE,public,98.0,0470001W2021
179,179,2021,0470020S,LYCEE TECH INNOVANTES - V DE GARONNE (GENERAL ET TECHNO.),MARMANDE,47157,BORDEAUX,LOT-ET-GARONNE,public,95.0,0470020S2021
180,180,2021,0480009Z,LYCEE EMILE PEYTAVIN,MENDE,48095,MONTPELLIER,LOZERE,public,99.0,0480009Z2021
181,181,2021,0490002L,LYCEE JOACHIM DU BELLAY,ANGERS,49007,NANTES,MAINE-ET-LOIRE,public,97.0,0490002L2021
