numero_uai,date_ouverture,date_fermeture,nature_uai,nature_uai_libe
0330541J,1965-08-10,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330551V,1965-08-10,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330594S,1965-08-10,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330645X,1965-08-10,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330674D,1965-08-10,2015-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330698E,1965-08-10,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330716Z,1965-08-10,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330739Z,1965-08-10,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330760X,1965-08-10,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330782W,1965-08-10,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330799P,1965-08-10,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330841K,1965-08-10,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330849U,1965-08-10,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330850V,1965-08-10,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330857C,1965-08-10,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330884G,1965-08-10,2015-08-31,101,ECOLE MATERNELLE
0330898X,1965-08-10,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330899Y,1965-08-10,1985-09-16,151,ECOLE DE NIVEAU ELEMENTAIRE
0330910K,1965-08-10,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330911L,1965-08-10,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330944X,1965-08-10,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330959N,1965-08-10,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330960P,1965-08-10,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0330979K,1965-08-10,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
