numero_uai,date_ouverture,date_fermeture,nature_uai,nature_uai_libe
0500359U,1966-11-23,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500370F,1966-11-23,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500383V,1966-11-23,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500421L,1966-11-24,1981-12-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500432Y,1966-11-24,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500443K,1966-11-24,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500453W,1966-11-24,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500460D,1966-11-26,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500475V,1966-12-22,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500481B,1966-12-20,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500509G,1966-12-22,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500527B,1966-12-28,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500532G,1966-12-22,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500537M,1966-12-23,2018-08-31,101,ECOLE MATERNELLE
0500557J,1966-12-23,1992-09-09,151,ECOLE DE NIVEAU ELEMENTAIRE
0500559L,1966-12-23,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500569X,1966-12-27,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500579H,1966-12-27,2007-08-31,101,ECOLE MATERNELLE
0500590V,1966-12-29,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500598D,1966-12-29,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500614W,1966-12-29,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500616Y,1966-12-29,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500666C,1967-01-02,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500669F,1967-01-03,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500674L,1967-01-03,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500711B,1967-01-03,2013-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500728V,1966-01-03,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500769P,1967-01-06,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500818T,1967-01-13,2013-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500866V,1967-01-13,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500914X,1967-01-14,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0500983X,1967-01-12,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501007Y,1967-01-09,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501047S,1966-12-19,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501061G,1966-12-19,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501081D,1966-12-19,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501133K,1966-12-20,1996-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501167X,1966-11-16,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501212W,1968-12-04,2012-09-30,320,LYCEE PROFESSIONNEL
0501304W,1968-09-04,2016-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501317K,1968-06-24,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501336F,1968-06-24,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501339J,1968-09-09,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501340K,1968-09-17,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501348U,1968-09-04,2006-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501384H,1968-09-17,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501416T,1971-04-29,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501421Y,1971-06-09,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501422Z,1971-06-09,2008-08-31,101,ECOLE MATERNELLE
0501436P,1971-09-06,2010-08-31,101,ECOLE MATERNELLE
0501452G,1972-09-29,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501475G,1973-09-07,2011-08-31,101,ECOLE MATERNELLE
0501531T,1976-05-28,2005-08-31,101,ECOLE MATERNELLE
0501537Z,1976-05-28,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501549M,1976-09-16,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501550N,1976-09-20,2007-08-31,101,ECOLE MATERNELLE
0501553S,1976-09-16,1994-08-31,101,ECOLE MATERNELLE
0501555U,1976-09-30,2013-08-31,101,ECOLE MATERNELLE
0501620P,1978-09-01,2009-08-31,101,ECOLE MATERNELLE
0501660H,1979-09-01,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501751G,1982-09-01,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501776J,1983-09-01,2017-08-31,101,ECOLE MATERNELLE
0501781P,1983-09-01,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0501804P,1985-09-01,2001-08-31,101,ECOLE MATERNELLE
0501822J,1986-09-03,2020-08-31,101,ECOLE MATERNELLE
0501874R,1990-09-01,1997-08-31,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE
0501910E,1993-09-01,1998-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0501914J,1994-09-01,1998-08-31,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0510045X,1968-10-01,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510064T,1965-05-01,1979-08-31,320,LYCEE PROFESSIONNEL
0510069Y,1965-11-17,2012-08-31,320,LYCEE PROFESSIONNEL
0510076F,1978-09-01,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510134U,1965-09-14,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510156T,1965-09-14,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510175N,1965-09-14,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510238G,1965-09-14,2010-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510242L,1965-09-14,2009-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510274W,1965-09-14,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510286J,1965-09-14,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510289M,1965-09-14,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510305E,1965-09-14,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510311L,1965-09-14,2001-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510322Y,1965-09-14,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510329F,1965-09-14,1977-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510344X,1965-09-14,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510349C,1965-09-14,2014-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510366W,1965-09-14,2016-08-31,101,ECOLE MATERNELLE
0510380L,1965-09-14,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510383P,1965-09-14,2014-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510395C,1965-09-14,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510408S,1965-09-14,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510416A,1965-09-14,2012-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510453R,1965-09-14,1997-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510457V,1965-09-14,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510462A,1965-09-14,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510466E,1965-09-14,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510471K,1965-09-14,2010-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510498P,1965-09-14,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510506Y,1965-09-14,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510507Z,1965-09-14,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510519M,1965-09-14,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510537G,1965-09-14,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510555B,1965-09-14,1993-08-31,101,ECOLE MATERNELLE
0510581E,1965-09-14,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510587L,1965-09-14,2019-08-31,101,ECOLE MATERNELLE
0510632K,1965-09-14,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510668Z,1965-09-14,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510722H,1965-09-14,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510731T,1965-09-14,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510769J,1965-09-14,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510770K,1965-09-14,1996-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510793K,1965-09-14,2014-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510840L,1965-09-14,2023-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510841M,1965-09-14,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510856D,1965-09-14,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510858F,1965-09-14,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510876A,1965-09-14,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510884J,1965-09-14,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510885K,1965-09-14,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510893U,1965-09-14,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510907J,1965-09-14,2007-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510971D,1965-09-14,2009-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510979M,1965-09-14,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0510996F,1965-09-14,2008-08-31,101,ECOLE MATERNELLE
0511000K,1965-09-14,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511019F,1965-09-14,2007-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511125W,1978-09-01,1979-09-20,151,ECOLE DE NIVEAU ELEMENTAIRE
0511193V,1968-10-01,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511199B,1969-01-13,1980-08-31,302,LYCEE D ENSEIGNEMENT GENERAL
0511233N,1969-07-22,2001-08-31,101,ECOLE MATERNELLE
0511244A,1969-10-21,2007-08-31,101,ECOLE MATERNELLE
0511245B,1969-10-21,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511298J,1970-06-09,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511313A,1970-06-09,2006-08-31,101,ECOLE MATERNELLE
0511315C,1970-06-09,1994-08-31,101,ECOLE MATERNELLE
0511320H,1970-06-25,2011-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511335Z,1971-03-30,1983-09-05,151,ECOLE DE NIVEAU ELEMENTAIRE
0511356X,1971-03-30,2022-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511363E,1971-03-30,2001-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511371N,1971-03-30,1983-09-05,151,ECOLE DE NIVEAU ELEMENTAIRE
0511407C,1971-06-18,2010-08-31,101,ECOLE MATERNELLE
0511411G,1971-06-18,2013-08-31,101,ECOLE MATERNELLE
0511446V,1972-06-15,2006-08-31,101,ECOLE MATERNELLE
0511458H,1972-06-15,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511459J,1972-06-15,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511492V,1973-05-25,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511502F,1973-05-23,2003-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511506K,1973-05-23,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0511507L,1973-05-23,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260109C,1967-03-14,1982-08-31,320,LYCEE PROFESSIONNEL
0260137H,1966-10-26,2015-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260149W,1966-10-28,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260185K,1966-10-29,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260207J,1966-10-29,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260208K,1966-10-29,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260244Z,1967-10-14,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260251G,1966-11-08,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260270C,1966-11-09,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260273F,1966-11-09,2019-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260296F,1966-11-10,1988-01-03,151,ECOLE DE NIVEAU ELEMENTAIRE
0260309V,1966-11-10,2011-09-01,151,ECOLE DE NIVEAU ELEMENTAIRE
0260317D,1966-11-10,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260373P,1966-11-15,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260391J,1966-11-15,2019-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260398S,1966-11-15,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260442P,1966-11-16,2006-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260473Y,1966-11-17,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260503F,1966-11-18,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260583T,1966-09-28,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260617E,1966-09-21,2002-08-31,101,ECOLE MATERNELLE
0260646L,1966-09-23,1982-08-31,101,ECOLE MATERNELLE
0260652T,1966-09-23,1999-08-31,101,ECOLE MATERNELLE
0260663E,1966-11-05,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260680Y,1966-11-07,1978-09-14,151,ECOLE DE NIVEAU ELEMENTAIRE
0260681Z,1966-11-07,1978-09-14,151,ECOLE DE NIVEAU ELEMENTAIRE
0260684C,1966-11-07,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260688G,1966-11-07,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260705A,1966-11-07,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260736J,1966-11-07,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260753C,1966-11-07,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260758H,1966-11-07,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260813T,1971-03-24,2009-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260906U,1971-03-24,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260950S,1972-02-23,1997-08-31,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE
0260990K,1973-06-13,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0260994P,1973-10-01,2021-08-31,101,ECOLE MATERNELLE
0261023W,1975-06-02,1980-08-31,101,ECOLE MATERNELLE
0261028B,1975-06-02,2016-08-31,101,ECOLE MATERNELLE
0261105K,1977-05-23,2000-08-31,101,ECOLE MATERNELLE
0261125G,1977-09-01,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0261129L,1979-09-01,2022-08-31,101,ECOLE MATERNELLE
0261181T,1983-09-01,2020-08-31,101,ECOLE MATERNELLE
0261189B,1984-09-01,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0261203S,1985-09-16,2005-08-31,101,ECOLE MATERNELLE
0261252V,1989-01-24,1992-08-31,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE
0261302Z,1994-09-01,1998-09-09,336,SECTION ENSEIGNT TECHNO (1ER CYCLE)
0261310H,1994-09-01,1997-08-31,101,ECOLE MATERNELLE
0261378G,1997-09-01,1998-08-31,101,ECOLE MATERNELLE
0261393Y,2000-09-01,2009-08-31,101,ECOLE MATERNELLE
0261441A,2005-09-01,2018-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0261469F,2010-04-12,2010-07-20,301,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE
0261508Y,2014-09-29,2017-08-31,101,ECOLE MATERNELLE
0261532Z,2017-09-01,2023-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270060U,1965-08-25,2019-08-31,101,ECOLE MATERNELLE
0270062W,1965-08-25,2023-08-31,101,ECOLE MATERNELLE
0270067B,1965-08-25,2005-08-31,102,ECOLE MATERNELLE ANNEXE D INSPE
0270069D,1965-08-25,2023-08-31,101,ECOLE MATERNELLE
0270078N,1965-08-25,2023-08-31,101,ECOLE MATERNELLE
0270080R,1965-08-25,2022-08-31,101,ECOLE MATERNELLE
0270088Z,1965-08-25,2023-08-31,101,ECOLE MATERNELLE
0270187G,1965-08-25,2006-08-31,101,ECOLE MATERNELLE
0270190K,1965-08-25,2019-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270191L,1965-08-25,2023-08-31,101,ECOLE MATERNELLE
0270214L,1965-08-25,2022-08-31,101,ECOLE MATERNELLE
0270225Y,1965-08-25,1992-09-14,151,ECOLE DE NIVEAU ELEMENTAIRE
0270232F,1965-08-25,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270233G,1965-08-25,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270268V,1965-08-25,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270285N,1965-08-25,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270288S,1965-08-25,1982-09-19,151,ECOLE DE NIVEAU ELEMENTAIRE
0270304J,1978-09-15,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270306L,1965-08-25,1992-09-14,151,ECOLE DE NIVEAU ELEMENTAIRE
0270331N,1965-08-25,1980-09-09,151,ECOLE DE NIVEAU ELEMENTAIRE
0270337V,1965-08-25,2017-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270350J,1965-08-25,1996-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270365A,1965-08-25,2017-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270368D,1965-08-25,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270379R,1965-08-25,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270389B,1965-08-25,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270390C,1965-08-25,2002-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270407W,1965-08-25,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270427T,1965-08-25,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270429V,1965-08-25,2015-09-01,151,ECOLE DE NIVEAU ELEMENTAIRE
0270441H,1965-08-25,1985-09-08,151,ECOLE DE NIVEAU ELEMENTAIRE
0270444L,1965-08-25,2020-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270457A,1965-08-25,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270458B,1965-08-25,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270472S,1965-08-25,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270489K,1965-08-25,2003-08-31,101,ECOLE MATERNELLE
0270491M,1965-08-25,1982-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270506D,1965-08-25,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270517R,1965-08-25,1999-08-31,101,ECOLE MATERNELLE
0270541S,1965-08-25,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270545W,1965-08-25,1997-09-25,151,ECOLE DE NIVEAU ELEMENTAIRE
0270554F,1965-08-25,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270555G,1965-08-25,2004-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270558K,1965-08-25,1990-08-31,101,ECOLE MATERNELLE
0270569X,1965-08-25,2003-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270571Z,1965-08-25,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270575D,1965-08-25,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270598D,1965-08-25,2011-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270607N,1978-09-15,2005-08-31,101,ECOLE MATERNELLE
0270609R,1965-08-25,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270618A,1965-08-25,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270620C,1965-08-25,2007-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270633S,1965-08-25,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270636V,1965-08-25,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270648H,1965-08-25,1984-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270649J,1965-08-25,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270650K,1965-08-25,1999-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0270661X,1965-08-25,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170284S,1967-03-20,2001-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170315A,1967-03-20,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170330S,1967-03-20,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170368H,1967-03-20,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170468S,1970-01-06,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170504F,1970-01-06,1981-06-27,151,ECOLE DE NIVEAU ELEMENTAIRE
0170510M,1970-01-06,2018-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170537S,1970-01-07,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170539U,1970-01-06,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170571D,1970-01-10,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170573F,1970-01-09,1980-09-08,151,ECOLE DE NIVEAU ELEMENTAIRE
0170611X,1973-09-01,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170614A,1970-01-05,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170662C,1970-01-05,2010-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170694M,1970-01-06,1989-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170724V,1970-01-05,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170740M,1970-01-07,1986-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170747V,1970-01-07,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170805H,1970-01-06,2010-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170890A,1970-01-07,2013-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170931V,1970-01-07,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0170935Z,1970-01-07,1990-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0171112S,1971-06-16,2010-08-31,101,ECOLE MATERNELLE
0171162W,1973-06-13,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0171191C,1974-05-22,2010-08-31,101,ECOLE MATERNELLE
0171235A,1975-10-27,1997-08-31,101,ECOLE MATERNELLE
0171308E,1977-05-18,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0171416X,1987-04-15,2013-08-31,320,LYCEE PROFESSIONNEL
0180069C,1966-12-08,1980-09-10,151,ECOLE DE NIVEAU ELEMENTAIRE
0180087X,1966-12-08,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180088Y,1966-12-08,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180122K,1966-12-08,1978-09-14,151,ECOLE DE NIVEAU ELEMENTAIRE
0180171N,1966-11-30,2005-08-31,101,ECOLE MATERNELLE
0180205A,1966-12-02,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180244T,1966-12-05,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180268U,1966-11-18,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180297A,1966-11-25,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180298B,1966-11-25,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180308M,1966-11-25,1989-09-04,151,ECOLE DE NIVEAU ELEMENTAIRE
0180317X,1966-10-19,1987-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180327H,1966-10-19,1997-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180335S,1966-10-19,1987-09-07,151,ECOLE DE NIVEAU ELEMENTAIRE
0180342Z,1966-10-19,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180352K,1966-11-21,2005-08-31,101,ECOLE MATERNELLE
0180353L,1966-11-21,2009-08-31,101,ECOLE MATERNELLE
0180366A,1966-12-08,2021-09-01,151,ECOLE DE NIVEAU ELEMENTAIRE
0180395G,1966-12-05,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0180422L,1966-12-07,2022-08-31,101,ECOLE MATERNELLE
0180451T,1966-12-07,2017-08-31,101,ECOLE MATERNELLE
0180481A,1966-12-12,2023-09-01,151,ECOLE DE NIVEAU ELEMENTAIRE
0180496S,1966-12-13,1985-09-08,151,ECOLE DE NIVEAU ELEMENTAIRE
0180588S,1968-05-25,2016-08-31,101,ECOLE MATERNELLE
0180671G,1970-09-03,1995-08-31,320,LYCEE PROFESSIONNEL
0190760Y,1979-09-01,2023-08-31,101,ECOLE MATERNELLE
0190777S,1980-09-15,2021-08-31,101,ECOLE MATERNELLE
0195057U,2017-09-01,2019-10-25,151,ECOLE DE NIVEAU ELEMENTAIRE
0210008V,1991-09-01,2009-08-31,334,SECTION D ENSEIGNEMENT PROFESSIONNEL
0210026P,1965-05-01,2006-08-31,340,COLLEGE
0210063E,1968-10-07,1985-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0210141P,1965-09-03,1994-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0210152B,1965-09-02,1998-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0210157G,1965-09-02,1987-09-07,151,ECOLE DE NIVEAU ELEMENTAIRE
0210164P,1965-09-02,2015-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0210172Y,1965-09-02,1981-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
