Code INSEE,Type local,Valeur fonciere
01187,Appartement,100000.0
01187,Maison,234399.2857142857
01188,Maison,420750.0
01189,Appartement,378542.0
01189,Maison,332994.4
01190,Maison,92757.5475
01191,Maison,162500.0
01192,Maison,198186.75
01193,Maison,150000.0
01194,Appartement,169561.6
01194,Maison,372552.32558139536
01195,Appartement,109400.0
01195,Maison,281951.7466666667
01196,Maison,198294.11764705883
01197,Maison,177100.0
01198,Maison,170000.0
01199,Appartement,92671.42857142857
01199,Maison,180265.0
01200,Appartement,125000.0
01200,Maison,30000.0
01202,Appartement,176015.625
01202,Maison,264872.5
01203,Maison,314645.9285714286
01204,Appartement,237000.0
01204,Maison,220750.0
01206,Maison,85666.66666666667
01207,Maison,287216.6666666667
01208,Maison,185000.0
01209,Appartement,156833.33333333334
01209,Maison,431160.0
01210,Appartement,89603.0
01210,Maison,225000.33333333334
01211,Maison,317306.2083333333
01212,Appartement,125000.0
01212,Maison,155750.0
01213,Appartement,97750.0
01213,Maison,218844.73684210525
01214,Maison,79277.77666666667
01215,Maison,235000.0
01216,Maison,209426.18181818182
01219,Maison,144666.66666666666
01224,Appartement,163735.83333333334
01224,Maison,289387.6671875
01225,Maison,389514.0
01227,Maison,249485.7666666667
01228,Maison,217360.0
01229,Appartement,193333.33333333334
01229,Maison,206666.66666666666
01230,Maison,168000.0
01231,Maison,296961.875
01232,Appartement,246852.13333333333
01232,Maison,227537.62068965516
01233,Maison,154750.0
01234,Maison,39000.0
01235,Appartement,199666.66666666666
01235,Maison,309411.3157894737
01236,Maison,222725.9
01237,Appartement,159000.0
01237,Maison,248768.75
01238,Appartement,580000.0
01238,Maison,304804.375
01239,Appartement,237500.0
01239,Maison,319950.0
01240,Appartement,171590.0
01240,Maison,167135.0
01241,Appartement,287110.0
01241,Maison,277896.0714285714
01242,Maison,137000.0
01243,Maison,360050.0
01244,Appartement,183661.42857142858
01244,Maison,360159.43265306123
01245,Maison,140800.0
01246,Appartement,162750.0
01246,Maison,242468.78048780488
01247,Appartement,128024.34782608696
01247,Maison,525000.0
01248,Appartement,253325.0
01248,Maison,481108.0
01249,Appartement,664605.1
01249,Maison,478153.10447761195
01250,Maison,333123.3333333333
01252,Maison,279437.0
01254,Maison,439712.78130434785
01255,Maison,145162.5
01257,Maison,376750.0
01258,Maison,251419.23076923078
01259,Maison,250000.0
01260,Maison,411500.0
01261,Maison,358333.3333333333
01262,Appartement,200299.3275862069
01262,Maison,327621.875
01263,Appartement,207041.11111111112
01263,Maison,337151.0909090909
01264,Maison,420203.3333333333
01265,Appartement,387906.6666666667
01265,Maison,245625.0
01266,Appartement,155128.2894736842
01266,Maison,292458.3333333333
01267,Appartement,240000.0
01267,Maison,246600.0
01268,Maison,281350.0
01269,Appartement,97184.01208333333
01269,Maison,223000.0
01272,Maison,237208.29090909092
01273,Appartement,291000.0
01273,Maison,196557.14285714287
01274,Appartement,113333.33333333333
01274,Maison,178000.0
01275,Appartement,356544.44444444444
01275,Maison,775650.637037037
01276,Maison,394207.8823529412
01277,Maison,51250.0
01279,Maison,100000.0
01280,Maison,162750.0
01281,Appartement,368956.22857142857
01281,Maison,643765.8852
01282,Maison,113750.0
01283,Appartement,204577.53866666666
01283,Maison,257929.64877192985
01284,Appartement,180000.0
01284,Maison,217155.55555555556
01285,Appartement,618884.4444444445
01285,Maison,263583.63636363635
01286,Maison,383816.1538461539
01288,Appartement,300845.04347826086
01288,Maison,556910.8695652174
